datetime,CODNEG,adj_close
2015-11-10,EZTC3,9.0508
2015-11-11,EZTC3,9.2932
2015-11-12,EZTC3,9.1683
2015-11-13,EZTC3,9.4401
2015-11-16,EZTC3,9.6605
2015-11-17,EZTC3,9.4915
2015-11-18,EZTC3,9.4915
2015-11-19,EZTC3,9.6973
2015-11-23,EZTC3,9.9323
2015-11-24,EZTC3,9.8001
2015-11-25,EZTC3,9.6312
2015-11-26,EZTC3,9.9176
2015-11-27,EZTC3,9.8442
2015-11-30,EZTC3,9.6238
2015-12-01,EZTC3,9.4842
2015-12-02,EZTC3,9.5063
2015-12-03,EZTC3,9.6605
2015-12-04,EZTC3,9.2859
2015-12-07,EZTC3,8.9994
2015-12-08,EZTC3,8.9994
2015-12-09,EZTC3,9.2564
2015-12-10,EZTC3,9.5503
2015-12-11,EZTC3,9.5136
2015-12-14,EZTC3,9.2197
2015-12-15,EZTC3,9.2564
2015-12-16,EZTC3,9.3373
2015-12-17,EZTC3,9.5063
2015-12-18,EZTC3,9.0361
2015-12-21,EZTC3,9.0361
2015-12-22,EZTC3,9.0361
2015-12-23,EZTC3,9.2564
2015-12-28,EZTC3,9.2271
2015-12-29,EZTC3,9.2197
2015-12-30,EZTC3,9.3740
2016-01-04,EZTC3,8.8451
2016-01-05,EZTC3,8.9994
2016-01-06,EZTC3,8.8524
2016-01-07,EZTC3,8.8157
2016-01-08,EZTC3,9.0361
2016-01-11,EZTC3,9.1096
2016-01-12,EZTC3,8.9479
2016-01-13,EZTC3,9.0361
2016-01-14,EZTC3,9.0361
2016-01-15,EZTC3,8.9626
2016-01-18,EZTC3,9.0361
2016-01-19,EZTC3,9.1536
2016-01-20,EZTC3,8.9626
2016-01-21,EZTC3,8.9626
2016-01-22,EZTC3,8.8745
2016-01-26,EZTC3,8.6100
2016-01-27,EZTC3,8.5219
2016-01-28,EZTC3,8.7937
2016-01-29,EZTC3,9.0728
2016-02-01,EZTC3,9.3299
2016-02-02,EZTC3,9.1830
2016-02-03,EZTC3,9.4034
2016-02-04,EZTC3,9.4769
2016-02-05,EZTC3,9.7340
2016-02-10,EZTC3,9.5650
2016-02-11,EZTC3,9.0654
2016-02-12,EZTC3,9.0728
2016-02-15,EZTC3,9.1830
2016-02-16,EZTC3,9.3520
2016-02-17,EZTC3,9.4548
2016-02-18,EZTC3,9.5136
2016-02-19,EZTC3,9.5283
2016-02-22,EZTC3,9.7340
2016-02-23,EZTC3,9.4034
2016-02-24,EZTC3,9.1022
2016-02-25,EZTC3,9.4989
2016-02-26,EZTC3,9.6385
2016-02-29,EZTC3,9.8442
2016-03-01,EZTC3,9.8515
2016-03-02,EZTC3,9.5944
2016-03-03,EZTC3,10.6302
2016-03-04,EZTC3,11.1078
2016-03-07,EZTC3,10.6156
2016-03-08,EZTC3,10.7699
2016-03-09,EZTC3,10.5421
2016-03-10,EZTC3,11.3134
2016-03-11,EZTC3,11.7176
2016-03-14,EZTC3,11.4971
